no,url,original_price,discounted_price
1,"/online-courses/data-analytics/transform-part-time/","$12,500 ","$11,250 "
2,/online-courses/ux-ui-design/transform-full-time/,"$12,500 ","$11,250 "
3,/online-courses/ux-ui-design/transform-part-time/,"$12,500 ","$11,250 "
4,/online-courses/ux-ui-design/elevate-self-paced/,"$3,500 ","$3,150 "
5,/online-courses/data-analytics/data-analytics-self-paced-elevate/,"$3,500 ","$3,150 "
6,/online-courses/front-end-web-development/transform-part-time/,"$11,500 ","$10,350 "
7,/online-courses/software-engineering/transform-full-time/,"$14,500 ","$13,050 "
8,/online-courses/software-engineering/transform-part-time/,"$14,500 ","$13,050 "
9,/online-courses/graphic-design/transform-part-time/,"$12,000 ","$10,800 "
10,online-courses/graphic-design/elevate-self-paced/,"$3,500 ","$3,150 "
11,/online-courses/cyber-security/transform-part-time/,"$14,500 ","$13,050 "
12,/online-courses/product-management/transform-part-time/,"$12,500 ","$11,250 "
13,/online-courses/product-management/elevate-self-paced/,"$3,500 ","$3,150 "
14,/online-courses/service-design/elevate-self-paced/,"$3,500 ","$3,150 "
15,/online-courses/design-thinking/elevate-self-paced/,"$3,500 ","$3,150 "
16,/online-courses/customer-experience/elevate-self-paced/,"$3,500 ","$3,150 "
17,/online-courses/social-media-marketing/elevate-self-paced/,"$3,500 ","$3,150 "
18,/online-courses/digital-marketing/transform-part-time/,"$12,000 ","$10,800 "
19,/online-courses/digital-marketing/elevate-self-paced/,"$3,500 ","$3,150 "
20,/online-courses/digital-project-management/elevate-self-paced/,"$3,500 ","$3,150 "
